station_id,station_name,is_new_in_post,is_removed_in_post,is_interchange,station_codes,line_names,lat,lon,betweenness_pre,betweenness_post,betweenness_delta,closeness_pre,closeness_post,closeness_delta,out_degree_pre,out_degree_post,in_degree_pre,in_degree_post,betweenness_delta_rank_desc,closeness_delta_rank_desc
DT13,Rochor,False,False,False,DT13,Downtown Line,1.3038094417846313,103.85273967864146,0.05362435,0.05142082,-0.00220353,0.07157258,0.07221116,0.00063858,2,2,2,2,124,29
DT19,Chinatown,False,False,True,DT19|NE4,Downtown Line|North East Line,1.2846415113506149,103.84407269085708,0.10097702,0.09867953,-0.00229749,0.0693021,0.07004831,0.00074621,4,4,4,4,125,16
CC9,Paya Lebar,False,False,True,CC9|EW8,Circle Line|East-West Line,1.3178251159873784,103.89220107839353,0.19383678,0.19152299,-0.00231379,0.06252752,0.06277056,0.00024304,4,4,4,4,126,59
EW23,Clementi,False,False,False,EW23,East-West Line,1.3147708499395088,103.76537190030689,0.16557453,0.16288953,-0.002685,0.05186267,0.0519341,7.143e-05,2,2,2,2,127,85
DT11,Newton,False,False,True,DT11|NS21,Downtown Line|North-South Line,1.3127635093197172,103.83811425879578,0.27982291,0.27705688,-0.00276603,0.07525172,0.0756785,0.00042678,4,4,4,4,128,44
EW22,Dover,False,False,False,EW22,East-West Line,1.3115543125642066,103.77838474329596,0.17566344,0.17285121,-0.00281223,0.05597162,0.05609284,0.00012122,2,2,2,2,129,77
CC16,Marymount,False,False,False,CC16,Circle Line,1.3484232292972218,103.83957343743887,0.07401525,0.07097382,-0.00304143,0.06089194,0.06072027,-0.00017167,2,2,2,2,130,143
EW24,Jurong East,False,False,True,EW24|NS1,East-West Line|North-South Line,1.3332114638253465,103.74236508406312,0.16870443,0.16560345,-0.00310098,0.04273247,0.04270987,-2.26e-05,3,3,3,3,131,110
CC17,Caldecott,False,False,True,CC17|TE9,Circle Line|Thomson-East Coast Line,1.3374869862318381,103.84003535137836,0.15522473,0.15207102,-0.00315371,0.06330807,0.06323594,-7.213e-05,4,4,4,4,132,124
CC11,Tai Seng,False,False,False,CC11,Circle Line,1.3352674810786016,103.88792075251713,0.09310592,0.08956737,-0.00353855,0.0599409,0.06006628,0.00012538,2,2,2,2,133,75
CC12,Bartley,False,False,False,CC12,Circle Line,1.3428749053727125,103.87958229359455,0.09035894,0.08664591,-0.00371303,0.05916667,0.05915953,-7.14e-06,2,2,2,2,134,103
CC14,Lorong Chuan,False,False,False,CC14,Circle Line,1.3515888207439537,103.86392598671051,0.10315153,0.09891284,-0.00423869,0.06168549,0.06162346,-6.203e-05,2,2,2,2,135,122
CC15,Bishan,False,False,True,CC15|NS17,Circle Line|North-South Line,1.3508634014459961,103.8486921069671,0.15713501,0.15252988,-0.00460513,0.06330807,0.06323594,-7.213e-05,4,4,4,4,136,125
